DN,Radius,Angle_deg,Material,Schedule,OD_mm,Wall_mm,A_mm,B_mm,Weight_kg,Notes
500,SR,45,Carbon Steel,Sch40,,,,,,
500,SR,45,Stainless Steel,Sch10,,,,,,
600,LR,90,Carbon Steel,Sch40,,,,,,
600,LR,90,Stainless Steel,Sch10,,,,,,
600,LR,45,Carbon Steel,Sch40,,,,,,
600,LR,45,Stainless Steel,Sch10,,,,,,
600,SR,90,Carbon Steel,Sch40,,,,,,
600,SR,90,Stainless Steel,Sch10,,,,,,
600,SR,45,Carbon Steel,Sch40,,,,,,
600,SR,45,Stainless Steel,Sch10,,,,,,
